Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-12-21,Juleferie,Christmas Holiday,DK,False,False,,School,
2024-12-22,Juleferie,Christmas Holiday,DK,False,False,,School,
2024-12-23,Juleferie,Christmas Holiday,DK,False,False,,School,
2024-12-24,Juleferie,Christmas Holiday,DK,False,False,,School,
2024-12-25,Juleferie,Christmas Holiday,DK,False,False,,School,
2024-12-26,Juleferie,Christmas Holiday,DK,False,False,,School,
2024-12-27,Juleferie,Christmas Holiday,DK,False,False,,School,
2024-12-28,Juleferie,Christmas Holiday,DK,False,False,,School,
2024-12-29,Juleferie,Christmas Holiday,DK,False,False,,School,
2024-12-30,Juleferie,Christmas Holiday,DK,False,False,,School,
2024-12-31,Juleferie,Christmas Holiday,DK,False,False,,School,
2025-01-01,Juleferie,Christmas Holiday,DK,False,False,,School,
2025-01-02,Juleferie,Christmas Holiday,DK,False,False,,School,
