#,Event Id,Event Name,Event Type,Player Id,Attending What,Age,Gender,Nationality,Disability,Event Date,Event Name,Zone
92,507,Hørgården - Street football,Street Football,2206120061,No,10,Male,,No,10/17/2023,Hørgården - Street football,Hørgården - København
93,507,Hørgården - Street football,Street Football,2206120065,No,9,Male,,No,10/17/2023,Hørgården - Street football,Hørgården - København
94,507,Hørgården - Street football,Street Football,2306120072,No,8,Male,,No,10/17/2023,Hørgården - Street football,Hørgården - København
95,507,Hørgården - Street football,Street Football,2306120073,No,9,Female,,No,10/17/2023,Hørgården - Street football,Hørgården - København
96,507,Hørgården - Street football,Street Football,2306120085,No,8,Male,,No,10/17/2023,Hørgården - Street football,Hørgården - København
97,507,Hørgården - Street football,Street Football,2406120093,No,7,Male,,No,6/26/2024,Hørgården - Street football,Hørgården - København
98,507,Hørgården - Street football,Street Football,2406120090,No,7,Male,,No,6/26/2024,Hørgården - Street football,Hørgården - København
99,507,Hørgården - Street football,Street Football,2306120085,No,8,Male,,No,6/26/2024,Hørgården - Street football,Hørgården - København
100,507,Hørgården - Street football,Street Football,2406120094,No,6,Male,,No,6/26/2024,Hørgården - Street football,Hørgården - København
101,507,Hørgården - Street football,Street Football,2406120095,No,6,Male,,No,6/26/2024,Hørgården - Street football,Hørgården - København
102,507,Hørgården - Street football,Street Football,2106120004,"Yes, Something else than sport",12,Female,,No,7/3/2024,Hørgården - Street football,Hørgården - København
103,535,Sydbyen - Streetbasket,Street Basketball,2206210145,"Yes, Sport",17,Male,,No,1/5/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
104,535,Sydbyen - Streetbasket,Street Basketball,2206210089,No,11,Male,,No,1/5/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
105,535,Sydbyen - Streetbasket,Street Basketball,2106210007,"Yes, Sport",13,Female,,No,1/5/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
106,535,Sydbyen - Streetbasket,Street Basketball,2206210250,No,19,Male,,No,1/5/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
107,535,Sydbyen - Streetbasket,Street Basketball,2206210098,"Yes, Sport",9,Male,,No,1/5/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
108,535,Sydbyen - Streetbasket,Street Basketball,2206540108,"Yes, Sport",15,Male,,No,1/5/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
109,535,Sydbyen - Streetbasket,Street Basketball,2206210209,No,7,Female,,No,1/5/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
110,535,Sydbyen - Streetbasket,Street Basketball,2106210018,No,11,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
111,535,Sydbyen - Streetbasket,Street Basketball,2206210225,No,13,Male,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
112,535,Sydbyen - Streetbasket,Street Basketball,2206210254,No,10,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
113,535,Sydbyen - Streetbasket,Street Basketball,2106210001,"Yes, Sport",14,Male,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
114,535,Sydbyen - Streetbasket,Street Basketball,2206210121,No,10,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
115,535,Sydbyen - Streetbasket,Street Basketball,2206210243,No,10,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
116,535,Sydbyen - Streetbasket,Street Basketball,2106210035,"Yes, Sport",9,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
117,535,Sydbyen - Streetbasket,Street Basketball,2206210245,No,11,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
118,535,Sydbyen - Streetbasket,Street Basketball,2206210256,No,10,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
119,535,Sydbyen - Streetbasket,Street Basketball,2206210244,No,6,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
120,535,Sydbyen - Streetbasket,Street Basketball,2206210255,No,12,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
121,535,Sydbyen - Streetbasket,Street Basketball,2306210272,No,14,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
122,535,Sydbyen - Streetbasket,Street Basketball,2106210010,"Yes, Sport",12,Male,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
123,535,Sydbyen - Streetbasket,Street Basketball,2206210260,No,10,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
124,535,Sydbyen - Streetbasket,Street Basketball,2206210110,No,9,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
125,535,Sydbyen - Streetbasket,Street Basketball,2206210263,No,10,Female,,No,1/12/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
126,535,Sydbyen - Streetbasket,Street Basketball,2106210018,No,11,Female,,No,1/19/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
127,535,Sydbyen - Streetbasket,Street Basketball,2206210247,No,12,Female,,No,1/19/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
128,535,Sydbyen - Streetbasket,Street Basketball,2206210243,No,10,Female,,No,1/19/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
129,535,Sydbyen - Streetbasket,Street Basketball,2206210244,No,6,Female,,No,1/19/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
130,535,Sydbyen - Streetbasket,Street Basketball,2206210254,No,10,Female,,No,1/19/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
131,535,Sydbyen - Streetbasket,Street Basketball,2206210169,No,8,Female,,No,1/19/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
132,535,Sydbyen - Streetbasket,Street Basketball,2206210225,No,13,Male,,No,1/19/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
133,535,Sydbyen - Streetbasket,Street Basketball,2206210255,No,12,Female,,No,1/19/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
134,535,Sydbyen - Streetbasket,Street Basketball,2206210110,No,9,Female,,No,1/19/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
135,535,Sydbyen - Streetbasket,Street Basketball,2206210121,No,10,Female,,No,1/19/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
136,535,Sydbyen - Streetbasket,Street Basketball,2306210272,No,14,Female,,No,1/19/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
137,535,Sydbyen - Streetbasket,Street Basketball,2106210015,No,13,Female,,No,1/26/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
138,535,Sydbyen - Streetbasket,Street Basketball,2106210018,No,11,Female,,No,1/26/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
139,535,Sydbyen - Streetbasket,Street Basketball,2206210110,No,9,Female,,No,1/26/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
140,535,Sydbyen - Streetbasket,Street Basketball,2206210113,"Yes, Something else than sport",9,Female,,No,1/26/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
141,535,Sydbyen - Streetbasket,Street Basketball,2206210116,"Yes, Sport",10,Female,,No,1/26/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
142,535,Sydbyen - Streetbasket,Street Basketball,2206210133,No,11,Male,,No,1/26/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
143,535,Sydbyen - Streetbasket,Street Basketball,2206210169,No,8,Female,,No,1/26/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
144,535,Sydbyen - Streetbasket,Street Basketball,2206210083,No,10,Male,,No,2/9/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
145,535,Sydbyen - Streetbasket,Street Basketball,2206210145,"Yes, Sport",17,Male,,No,2/9/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
146,535,Sydbyen - Streetbasket,Street Basketball,2106210019,"Yes, Sport",14,Female,,No,2/9/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
147,535,Sydbyen - Streetbasket,Street Basketball,2206210075,No,17,Male,,No,2/9/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
148,535,Sydbyen - Streetbasket,Street Basketball,2106210059,No,16,Male,,No,2/9/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
149,535,Sydbyen - Streetbasket,Street Basketball,2106210018,No,11,Female,,No,2/9/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
150,535,Sydbyen - Streetbasket,Street Basketball,2106210001,"Yes, Sport",14,Male,,No,2/9/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
151,535,Sydbyen - Streetbasket,Street Basketball,2206210227,No,18,Female,,No,2/9/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
152,535,Sydbyen - Streetbasket,Street Basketball,2206210217,"Yes, Sport",18,Female,,No,2/9/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
153,535,Sydbyen - Streetbasket,Street Basketball,2206210250,No,19,Male,,No,2/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
154,535,Sydbyen - Streetbasket,Street Basketball,2206210145,"Yes, Sport",17,Male,,No,2/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
155,535,Sydbyen - Streetbasket,Street Basketball,2206540103,"Yes, Sport",19,Male,,No,2/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
156,535,Sydbyen - Streetbasket,Street Basketball,2206540108,"Yes, Sport",15,Male,,No,2/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
157,535,Sydbyen - Streetbasket,Street Basketball,2106210026,No,11,Male,,No,2/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
158,535,Sydbyen - Streetbasket,Street Basketball,2206210217,"Yes, Sport",18,Female,,No,2/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
